District,Firm Name,City,State,Zip,Country/Area,Inspection End Date,Project Area,Center/Program Area,Inspection Classification
NWE,Pfizer Inc. Groton Laboratories,Groton,CT,06340,United States,2/28/2001,Bioresearch Monitoring,CDER,NAI
ATL,LABORATORY CORPORATION OF AMERIC,Burlington,NC,27215-5837,United States,3/6/2001,Bioresearch Monitoring,CDER,NAI
LOS,B. Braun Medical Inc,Irvine,CA,92614-5841,United States,3/15/2001,Bioresearch Monitoring,CDER,NAI
PHI,Merck Sharp & Dohme LLC,West Point,PA,19486,United States,3/16/2001,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
CHI,Northshore University Health System,Skokie,IL,60077-2919,United States,3/22/2001,Bioresearch Monitoring,CDER,VAI
NWJ,Consumer Product Testing Co. Inc.,Fairfield,NJ,07004-2514,United States,3/28/2001,Project Evaluation: Devices,CDRH,NAI
CHI,"Paul, Allan, Dr.",Urbana,IL,61802-6178,United States,4/6/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
MIN,"Labcorp Early Development Laboratories, Inc.",Madison,WI,53704-2523,United States,4/11/2001,Bioresearch Monitoring,CDER,VAI
LOS,Sierra Biomedical,San Diego,CA,92121-1502,United States,4/13/2001,Bioresearch Monitoring,CDER,NAI
CIN,"Charles River Laboratories Ashland, LLC",Ashland,OH,44805-8946,United States,4/20/2001,Bioresearch Monitoring,CDER,VAI
BLT,"BIOCON, Incorporated",Rockville,MD,20850-1360,United States,4/27/2001,Bioresearch Monitoring,CDER,NAI
NWJ,Bristol-Myers Squibb Company,New Brunswick,NJ,08901-1588,United States,5/1/2001,Bioresearch Monitoring,CDER,NAI
NYK,Roswell Park Cancer Institute,Buffalo,NY,14263-0001,United States,5/2/2001,Bioresearch Monitoring,CDER,VAI
KAN,Charles River Labs,Lees Summit,MO,64086-4722,United States,5/8/2001,Bioresearch Monitoring,CDER,NAI
BLT,Sitek Research Laboratories,Rockville,MD,20850-6276,United States,6/7/2001,Bioresearch Monitoring,CDER,VAI
CHI,"Charles River Laboratories, Inc- IL",Chicago,IL,60612-4670,United States,6/7/2001,Bioresearch Monitoring,CDER,VAI
SAN,"Charles River Laboratories, Inc.",Reno,NV,89511-1227,United States,6/7/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWE,Labcorp Bedford LLC.,Bedford,MA,01730-2314,United States,6/8/2001,Bioresearch Monitoring,CDER,VAI
DET,"Pfizer, Inc.",Ann Arbor,MI,48105-2430,United States,6/21/2001,Bioresearch Monitoring,CDER,NAI
BLT,Bioreliance Corporation,Rockville,MD,20850-3304,United States,6/22/2001,Bioresearch Monitoring,CDER,VAI
NWJ,Sanofi-Aventis U.S. LLC,Bridgewater,NJ,08807-1265,United States,7/2/2001,Bioresearch Monitoring,CDER,VAI
CIN,Procter & Gamble Co,Cincinnati,OH,45252,United States,7/3/2001,Bioresearch Monitoring,CDER,NAI
DEN,Colorado Histo-Prep,Fort Collins,CO,80526-5556,United States,7/11/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NOL,Southern Research Institute,Birmingham,AL,35205-2708,United States,7/16/2001,Bioresearch Monitoring,CDER,VAI
NWJ,Alcami Corporation,Edison,NJ,08837-3633,United States,7/18/2001,Bioresearch Monitoring,CDER,VAI
NYK,American Health Foundation,Valhalla,NY,10595-1549,United States,7/22/2001,Bioresearch Monitoring,CDER,VAI
NWE,Bayer HealthCare Pharmaceuticals Inc,West Haven,CT,06516-4140,United States,7/23/2001,Bioresearch Monitoring,CDER,NAI
NWJ,"Eurofins Scientific, Inc.",East Brunswick,NJ,08816-3206,United States,7/23/2001,Bioresearch Monitoring,CDER,NAI
BLT,Charles River Laboratories Inc.,Frederick,MD,21701-3019,United States,7/25/2001,Bioresearch Monitoring,CDER,NAI
NWJ,Product Safety Labs,Dayton,NJ,08810-1500,United States,7/25/2001,Bioresearch Monitoring,CDER,VAI
KAN,Integris Bioservices LLC,Shawnee,KS,66216-1841,United States,7/26/2001,Bioresearch Monitoring,CDER,NAI
DAL,Genzyme Corporation,San Antonio,TX,78229-2263,United States,7/27/2001,Bioresearch Monitoring,CDER,VAI
NWE,Charles River Laboratories Preclinical Services,Worcester,MA,01608-1114,United States,7/30/2001,Bioresearch Monitoring,CDER,VAI
DEN,Colorado Pathology Services,Collbran,CO,81624-9722,United States,8/1/2001,Bioresearch Monitoring,CDER,NAI
DET,"Inotiv, Inc",Mount Vernon,IN,47620-9627,United States,8/1/2001,Bioresearch Monitoring,CDER,NAI
OII,Central Institute For Experimental Animals,Kawasaki,,,Japan,8/3/2001,Bioresearch Monitoring,CDER,VAI
DET,Bristol-Myers Squibb Company,Mount Vernon,IN,47620,United States,8/13/2001,Bioresearch Monitoring,CDER,NAI
NWJ,"Labcorp Early Development Laboratories, Inc.",Somerset,NJ,08873-7378,United States,8/13/2001,Bioresearch Monitoring,CDER,VAI
BLT,Ore Pharmaceuticals Inc,Gaithersburg,MD,20878-1703,United States,8/15/2001,Bioresearch Monitoring,CDER,VAI
NYK,Pfizer Research Chazy DSRD,Chazy,NY,12921-2420,United States,8/15/2001,Bioresearch Monitoring,CDER,NAI
CIN,Battelle Biomedical Research Center,West Jefferson,OH,43162,United States,8/17/2001,Bioresearch Monitoring,CDER,VAI
CIN,Charles River Laboratories Inc,Spencerville,OH,45887-1064,United States,8/23/2001,Bioresearch Monitoring,CDER,NAI
CIN,Charles River Laboratories Inc,Spencerville,OH,45887-1064,United States,8/23/2001,Pesticides and Chemical Contaminants,CFSAN,NAI
CIN,Charles River Laboratories Inc,Spencerville,OH,45887-1064,United States,8/23/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DEN,"OSI Pharmaceuticals, Inc",Boulder,CO,80301,United States,8/27/2001,Bioresearch Monitoring,CDER,VAI
LOS,Sierra Biomedical,San Diego,CA,92121-1502,United States,9/17/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,"Experimental Pathology Laboratories, Inc.",Sterling,VA,20166-4302,United States,10/2/2001,Bioresearch Monitoring,CDER,NAI
NWJ,Schering Corporation,Lafayette,NJ,07848-4613,United States,10/22/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
SEA,Johnson Edward G Dvm,Parma,ID,83660-7221,United States,11/1/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWE,Pfizer Inc. Groton Laboratories,Groton,CT,06340,United States,11/29/2001,Food and Color Additives Petition Review,CFSAN,NAI
MIN,3M Company,Saint Paul,MN,55144-4147,United States,12/3/2001,Bioresearch Monitoring,CDER,NAI
NOL,William W Muir III DVM,Harrogate,TN,37752-8245,United States,12/4/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,Dovetail Technologies Inc,College Park,MD,20742-3371,United States,12/5/2001,Bioresearch Monitoring,CDER,NAI
NWJ,"Merck & Co., Inc.",Springfield,NJ,07081-3121,United States,12/7/2001,Bioresearch Monitoring,CDER,NAI
NWJ,"Merck & Co., Inc.",Springfield,NJ,07081-3121,United States,12/7/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
KAN,"TriRx Shawnee, LLC",Shawnee,KS,66216-1846,United States,12/10/2001,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DEN,Redbeast Enterprises Inc dba High Quality Research,Fort Collins,CO,80525-4433,United States,12/18/2001,Bioresearch Monitoring,CDER,VAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,12/21/2001,Bioresearch Monitoring,CDER,NAI
CHI,IIT Research Institute,Chicago,IL,60616-3717,United States,1/4/2002,Bioresearch Monitoring,CDER,VAI
ATL,Catalent Pharma Solutions LLC,Morrisville,NC,27560-9570,United States,1/7/2002,Bioresearch Monitoring,CDER,NAI
LOS,"Molecular Diagnostics Services, Inc.",San Diego,CA,92121-1445,United States,1/31/2002,Bioresearch Monitoring,CDER,NAI
PHI,"Provident Preclinical, Inc.",Doylestown,PA,18901-2603,United States,2/7/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
PHI,"Provident Preclinical, Inc.",Doylestown,PA,18901-2603,United States,2/7/2002,Vaccines and Allergenic Products,CBER,VAI
PHI,"Calvert Laboratories, Inc.",Scott Township,PA,18447-9600,United States,3/8/2002,Bioresearch Monitoring,CDER,VAI
NWJ,"inVentiv Health Clinical Lab, Inc.",Princeton,NJ,08540-6608,United States,3/13/2002,Bioresearch Monitoring,CDER,NAI
ATL,Laboratory Corporation of America,Research Triangle Park,NC,27709,United States,3/14/2002,Bioresearch Monitoring,CDER,VAI
DET,"Labcorp Early Development Laboratories, Inc.",Greenfield,IN,46140-8501,United States,3/22/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,OAI
KAN,"BOEHRINGER INGELHEIM ANIMAL HEALTH USA, INC",Fulton,MO,65251-3318,United States,3/22/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
PHI,"Research Pathology Services, Inc.",New Britain,PA,18901-5261,United States,3/26/2002,Bioresearch Monitoring,CDER,NAI
NYK,"Lotte Biologics USA, LLC",East Syracuse,NY,13057-5051,United States,3/29/2002,Bioresearch Monitoring,CDER,VAI
DAL,Charles River Laboratories,Redfield,AR,72132,United States,4/25/2002,Bioresearch Monitoring,CDER,VAI
CIN,Battelle Memorial Institute,Columbus,OH,43201-2696,United States,5/13/2002,Bioresearch Monitoring,CDER,VAI
DEN,"Southwest Bio-Labs, Inc.",Las Cruces,NM,88005-8131,United States,5/17/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
CIN,Ethicon Endo-Surgery Inc,Blue Ash,OH,45242-2803,United States,5/29/2002,Project Evaluation: Devices,CDRH,VAI
DAL,Alcon Research LLC,Fort Worth,TX,76134-2099,United States,5/30/2002,Bioresearch Monitoring,CDER,VAI
CIN,"Frontage Laboratories, Inc.",Concord Township,OH,44077-9041,United States,6/12/2002,Bioresearch Monitoring,CDER,NAI
FLA,Cordis US Corp,Miami Lakes,FL,33014-2802,United States,6/20/2002,Project Evaluation: Devices,CDRH,VAI
BLT,"Covance Laboratories, Inc.",Vienna,VA,22182-1656,United States,6/21/2002,Food and Color Additives Petition Review,CFSAN,VAI
DEN,"Southwest Bio-Labs, Inc.",Las Cruces,NM,88005-8131,United States,6/25/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DET,Snow Hill Farms,West Harrison,IN,47060-9021,United States,6/27/2002,Project Evaluation: Devices,CDRH,NAI
CIN,Histo Techniques Ltd,Powell,OH,43065-9331,United States,7/9/2002,Bioresearch Monitoring,CDER,NAI
DAL,"Biomedical Research Foundation of South Texas, Inc",San Antonio,TX,78229,United States,7/10/2002,Project Evaluation: Devices,CDRH,NAI
ATL,"Integrated Laboratory Systems LLC, An Inotiv Company",Morrisville,NC,27560-6363,United States,7/15/2002,Project Evaluation: Devices,CDRH,VAI
LOS,"Amgen, Inc.",Thousand Oaks,CA,91320-1730,United States,7/25/2002,Bioresearch Monitoring,CDER,VAI
BLT,Charles River Laboratories Inc,Rockville,MD,20850-5314,United States,8/5/2002,Bioresearch Monitoring,CDER,NAI
BLT,Biological Research Faculty,Ijamsville,MD,21754,United States,8/27/2002,Bioresearch Monitoring,CDER,NAI
KAN,Bayer Cropscience Lp,Stilwell,KS,66085-9325,United States,8/27/2002,Bioresearch Monitoring,CDER,NAI
CIN,E Med Future Inc,Millersburg,OH,44654-1354,United States,8/28/2002,Project Evaluation: Devices,CDRH,NAI
NWJ,"J&J Pharmaceutical Research & Development, L.L.C.",Raritan,NJ,08869-1425,United States,9/13/2002,Bioresearch Monitoring,CDER,VAI
DET,"Labcorp Early Development Laboratories, Inc.",Greenfield,IN,46140-8501,United States,9/18/2002,Bioresearch Monitoring,CDER,VAI
LOS,Laboratory Corp of America,San Diego,CA,92121-1508,United States,9/18/2002,Bioresearch Monitoring,CDER,NAI
DET,"Labcorp Early Development Laboratories, Inc.",Greenfield,IN,46140-8501,United States,9/19/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DAL,Genzyme Corporation,San Antonio,TX,78229-2263,United States,9/20/2002,Bioresearch Monitoring,CDER,NAI
KAN,Intervet Inc,De Soto,KS,66018-7103,United States,9/26/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DET,Pfizer Inc,Terre Haute,IN,47802-8019,United States,10/3/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
CIN,Pharmacology & Toxicology Research Lab Inc,Richmond,KY,40475-9113,United States,10/7/2002,Bioresearch Monitoring,CDER,NAI
NWJ,Bristol-Myers Squibb Company,Princeton,NJ,08540-4715,United States,10/11/2002,Bioresearch Monitoring,CDER,NAI
NWJ,Bristol-Myers Squibb Pri,Lawrenceville,NJ,08648,United States,10/11/2002,Bioresearch Monitoring,CDER,NAI
SEA,"Altasciences Preclinical Seattle, LLC",Everett,WA,98203-5898,United States,10/11/2002,Bioresearch Monitoring,CDER,NAI
DEN,Fermenta Animal Health,Fort Collins,CO,80524,United States,10/15/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,Pathco Incorporated,Frederick,MD,21702-4075,United States,10/18/2002,Bioresearch Monitoring,CDER,NAI
KAN,Analytical Biochemistry Laboratories Inc. dba ABC Labs. Inc.,Columbia,MO,65202-8807,United States,10/23/2002,Bioresearch Monitoring,CDER,NAI
DAL,Texas Biomedical Research Institute,San Antonio,TX,78227-5302,United States,10/29/2002,Bioresearch Monitoring,CDER,VAI
MIN,CN Laboratories,Courtland,MN,56021,United States,10/29/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DEN,"CARE Research, LLC",Fort Collins,CO,80524-9340,United States,10/31/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,Alza Corp,Vacaville,CA,95688-9470,United States,11/1/2002,Bioresearch Monitoring,CDER,NAI
BLT,Histo-Path Of America Inc,Millersville,MD,21108-2547,United States,11/6/2002,Bioresearch Monitoring,CDER,NAI
DET,Nutrition & Biosciences USA 1 LLC,Midland,MI,48640-5609,United States,11/13/2002,Bioresearch Monitoring,CDER,NAI
CIN,"North American Science Associates, LLC",Northwood,OH,43619-1012,United States,11/14/2002,Bioresearch Monitoring,CDER,NAI
OII,"Claude Labrie, M.D., Ph.D.",Quebec City,,,Canada,11/14/2002,Bioresearch Monitoring,CDER,OAI
KAN,"Sinclair Research Center, LLC",Auxvasse,MO,65231-1012,United States,11/15/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,"Techlab, Inc.",Blacksburg,VA,24060-6358,United States,11/19/2002,Bioresearch Monitoring,CDER,NAI
DET,Pfizer Animal Health,Kalamazoo,MI,49001,United States,11/20/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
LOS,"Allergan Sales, LLC",Irvine,CA,92612-1531,United States,11/22/2002,Bioresearch Monitoring,CDER,VAI
BLT,Wellstat Therapeutics Corporation,Rockville,MD,20850-7464,United States,11/26/2002,Bioresearch Monitoring,CDER,NAI
BLT,"Ani Lytics, Inc.",Gaithersburg,MD,20877-3490,United States,12/3/2002,Bioresearch Monitoring,CDER,NAI
PHI,Sanofi-aventis,Malvern,PA,19355-1304,United States,12/4/2002,Bioresearch Monitoring,CDER,VAI
NYK,Q2 Solutions LLC.,Ithaca,NY,14850-1247,United States,12/5/2002,Bioresearch Monitoring,CDER,NAI
NWJ,"Nelson Laboratories Fairfield, Inc.",Fairfield,NJ,07004-2405,United States,12/9/2002,Project Evaluation: Devices,CDRH,VAI
SAN,"Charles River Laboratories, Inc.",Reno,NV,89511-1227,United States,12/12/2002,Bioresearch Monitoring,CDER,VAI
SAN,"Charles River Laboratories, Inc.",Reno,NV,89511-1227,United States,12/12/2002,Project Evaluation: Devices,CDRH,VAI
DAL,Stillmeadow Incorporated,Sugar Land,TX,77478-2521,United States,12/17/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
CIN,Battelle Memorial Institute,Columbus,OH,43201-2696,United States,12/18/2002,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DEN,University of Arizona Human Subject Committee,Tucson,AZ,85724-0001,United States,12/20/2002,Project Evaluation: Devices,CDRH,NAI
PHI,WuXi Advanced Therapies,Philadelphia,PA,19112-1220,United States,12/27/2002,"Human Cellular, Tissue, and Gene Therapies",CBER,VAI
BLT,"Covance Laboratories, Inc.",Vienna,VA,22182-1656,United States,1/9/2003,Bioresearch Monitoring,CDER,NAI
PHI,"Hymed Group Corp,The",Bethlehem,PA,18015-5202,United States,1/10/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
ATL,LABORATORY CORPORATION OF AMERIC,Burlington,NC,27215-5837,United States,1/28/2003,Bioresearch Monitoring,CDER,VAI
KAN,MRIGlobal,Kansas City,MO,64110-2241,United States,1/28/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DEN,Lovelace Scientific Research,Albuquerque,NM,87108-5129,United States,2/5/2003,Bioresearch Monitoring,CDER,NAI
KAN,Schering-Plough Animal Health Corp,Williamsburg,KS,66095-8082,United States,2/7/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,Scios Inc,Sunnyvale,CA,94085-2910,United States,2/7/2003,Vaccines and Allergenic Products,CBER,NAI
NWJ,Novartis Pharmaceuticals Corporation,East Hanover,NJ,07936-1016,United States,2/10/2003,Bioresearch Monitoring,CDER,NAI
KAN,Charles River Labs,Lees Summit,MO,64086-4722,United States,2/19/2003,Bioresearch Monitoring,CDER,NAI
DEN,Lovelace Biomedical Research Institute,Albuquerque,NM,87185,United States,2/21/2003,Bioresearch Monitoring,CDER,OAI
NWJ,Fort Dodge Animal Health,Monmouth Junction,NJ,08852-1919,United States,2/27/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWJ,Intervet Inc. (d/b/a Merck Animal Health),Rahway,NJ,07065,United States,2/27/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
CHI,SGS North America Inc.,Lincolnshire,IL,60069-4205,United States,3/7/2003,Bioresearch Monitoring,CDER,NAI
KAN,Boehringer Ingelheim Vetmedica Inc,Saint Joseph,MO,64506-2002,United States,3/11/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DEN,"Pharmadign, Inc.",Salt Lake City,UT,84109-1405,United States,3/12/2003,Bioresearch Monitoring,CDER,NAI
NWJ,Bristol-Myers Squibb Company,New Brunswick,NJ,08901-1588,United States,3/12/2003,Bioresearch Monitoring,CDER,VAI
SAN,SRI International,Menlo Park,CA,94025-3453,United States,3/12/2003,Bioresearch Monitoring,CDER,VAI
DEN,Redbeast Enterprises Inc dba High Quality Research,Fort Collins,CO,80525-4433,United States,3/13/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
KAN,Integris Bioservices LLC,Shawnee,KS,66216-1841,United States,3/20/2003,Bioresearch Monitoring,CDER,NAI
BLT,"Institute for In Vitro Sciences, Inc.",Gaithersburg,MD,20878-4005,United States,3/25/2003,Bioresearch Monitoring,CDER,NAI
DET,"American Institute Of Toxicology, Inc",Indianapolis,IN,46241-4352,United States,3/27/2003,Bioresearch Monitoring,CDER,NAI
ATL,Professional Lab & Research,Corapeake,NC,27926-9749,United States,3/28/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
KAN,"BOEHRINGER INGELHEIM ANIMAL HEALTH USA, INC",Fulton,MO,65251-3318,United States,4/3/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DAL,"Pal-Path, Inc",Dallas,TX,75235-6001,United States,4/15/2003,Bioresearch Monitoring,CDER,NAI
SAN,Pacific BioLabs,Hercules,CA,94547-1830,United States,4/18/2003,Bioresearch Monitoring,CDER,VAI
SEA,MDS Pharma Services,Bothell,WA,98021-4903,United States,4/22/2003,Bioresearch Monitoring,CDER,VAI
SAN,"Marin Biologic Laboratories, Inc",Novato,CA,94949-5638,United States,4/23/2003,Bioresearch Monitoring,CDER,NAI
BLT,Sitek Research Laboratories,Rockville,MD,20850-6276,United States,4/28/2003,Bioresearch Monitoring,CDER,NAI
NYK,Eastman Kodak Co. Health & Environment Laboratories,Rochester,NY,14652-0001,United States,4/29/2003,Food and Color Additives Petition Review,CFSAN,NAI
NWJ,Hoffmann La Roche Inc,Nutley,NJ,07110-1150,United States,4/30/2003,Bioresearch Monitoring,CDER,VAI
NWE,Pfizer Inc. Groton Laboratories,Groton,CT,06340,United States,5/1/2003,Bioresearch Monitoring,CDER,NAI
DAL,Cavl Diagnostics,Amarillo,TX,79118,United States,5/6/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DEN,"OSI Pharmaceuticals, Inc",Boulder,CO,80301,United States,5/8/2003,Bioresearch Monitoring,CDER,VAI
KAN,Alcami Carolinas Corporation,Saint Louis,MO,63108-2811,United States,5/8/2003,Bioresearch Monitoring,CDER,OAI
ATL,American Cardiovascular Res Ins,Norcross,GA,30071,United States,5/9/2003,Project Evaluation: Devices,CDRH,OAI
NOL,University of Louisiana at Lafayette New Iberia Research Ctr,New Iberia,LA,70560-8768,United States,5/9/2003,Bioresearch Monitoring,CDER,NAI
NOL,University of Louisiana at Lafayette New Iberia Research Ctr,New Iberia,LA,70560-8768,United States,5/9/2003,Food and Color Additives Petition Review,CFSAN,NAI
NOL,University of Louisiana at Lafayette New Iberia Research Ctr,New Iberia,LA,70560-8768,United States,5/9/2003,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
NWE,Labcorp Bedford LLC.,Bedford,MA,01730-2314,United States,5/9/2003,Bioresearch Monitoring,CDER,VAI
NWE,Labcorp Bedford LLC.,Bedford,MA,01730-2314,United States,5/9/2003,Project Evaluation: Devices,CDRH,VAI
BLT,Armed Forces Institute of Pathology,Washington,DC,20306-0003,United States,5/12/2003,Project Evaluation: Devices,CDRH,OAI
CHI,"Tox Monitor Laboratories, Inc.",Oak Park,IL,60302-2401,United States,5/13/2003,Bioresearch Monitoring,CDER,OAI
CIN,Charles River Laboratories Inc,West Chester,OH,45069-3866,United States,5/14/2003,Bioresearch Monitoring,CDER,NAI
CHI,Zoetis Inc.,Chicago Heights,IL,60411-1242,United States,5/15/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWE,Bayer HealthCare Pharmaceuticals Inc,West Haven,CT,06516-4140,United States,5/21/2003,Bioresearch Monitoring,CDER,NAI
DET,"Labcorp Early Development Laboratories, Inc.",Greenfield,IN,46140-8501,United States,5/28/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWE,"Boehringer Ingelheim Pharmaceuticals, Inc.",Ridgefield,CT,06877-1058,United States,6/9/2003,Bioresearch Monitoring,CDER,VAI
DET,"Pfizer, Inc.",Ann Arbor,MI,48105-2430,United States,6/12/2003,Bioresearch Monitoring,CDER,VAI
CHI,Abbott Laboratories,Abbott Park,IL,60064-3502,United States,6/13/2003,Bioresearch Monitoring,CDER,NAI
MIN,"Labcorp Early Development Laboratories, Inc.",Madison,WI,53704-2523,United States,6/13/2003,Bioresearch Monitoring,CDER,NAI
DET,"Pfizer, Inc.",Kalamazoo,MI,49007-4931,United States,6/16/2003,Bioresearch Monitoring,CDER,NAI
PHI,"Provident Preclinical, Inc.",Doylestown,PA,18901-2603,United States,6/17/2003,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
