Content type:,Direct healthcare professional communication (DHPC),Output automatically generated from content on www.ema.europa.eu on:,21/03/2025 - 23:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category,Name of medicine,Procedure number,Active substances,DHPC type,Regulatory outcome,Referral name,ATC code (human),ATCvet code (veterinary),Therapeutic area (MeSH),Species,"Other related medicines
(nationally authorised)",Dissemination date,First published date,Last updated date,DHPC URL
Human,Pegasys,,peginterferon alfa-2a,Medicine shortage,,,L03AB11,,"Hepatitis C, Chronic;Hepatitis B, Chronic;Polycythemia Vera;Thrombocythemia, Essential",,,,08/11/2024,,https://www.ema.europa.eu/en/medicines/dhpc/pegasys
Human,5 fluorouracil,PSUSA/00000007/202312,5 fluorouracil,Periodic safety update single assessment,,"Fluorouracil and fluorouracil related substances (capecitabine, tegafur and flucytosine) containing medicinal products",,,Neoplasms,,,24/10/2024,24/10/2024,,https://www.ema.europa.eu/en/medicines/dhpc/5-fluorouracil
Human,Vabysmo,,Faricimab,Quality defect,,,S01L,,Wet Macular Degeneration;Macular Edema;Diabetes Complications,,,17/10/2024,17/10/2024,,https://www.ema.europa.eu/en/medicines/dhpc/vabysmo-0
Human,Infanrix Hexa,,"Diphtheria toxoid;Bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin);hepatitis B surface antigen;poliovirus (inactivated) (type-1 (Mahoney strain), type-2 (MEF-1 strain), type-3 (Saukett strain));Haemophilus influenzae type b polysaccharide;tetanus toxoid",Quality defect,,,J07CA09,,Hepatitis B;Immunization;Meningitis;Haemophilus;Whooping Cough;Poliomyelitis;Diphtheria;Tetanus,,,10/10/2024,10/10/2024,,https://www.ema.europa.eu/en/medicines/dhpc/infanrix-hexa
Human,Synflorix,,Pneumococcal polysaccharide serotype 23F;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19F,Quality defect,,,J07AL52,,Pneumococcal Infections;Immunization,,,10/10/2024,10/10/2024,,https://www.ema.europa.eu/en/medicines/dhpc/synflorix
Human,Oxbryta,EMEA/H/A-20/1538/C/004869/0014,Voxelotor,Referral - Article 20 procedure,Suspension,Oxbryta,B06AX03,,"Anemia;Anemia, Hemolytic;Anemia, Sickle Cell",,,07/10/2024,07/10/2024,,https://www.ema.europa.eu/en/medicines/dhpc/oxbryta
Human,Ozempic / Victoza,,semaglutide;liraglutide,Medicine shortage,,,A10BJ06;A10BJ02,,"Diabetes Mellitus;Diabetes Mellitus, Type 2",,,09/08/2024,02/09/2024,,https://www.ema.europa.eu/en/medicines/dhpc/ozempic-victoza-0
Human,Privigen,,human normal immunoglobulin (IVIg),Quality defect,,,J06BA02,,Purpura;Bone Marrow Transplantation;Immunologic Deficiency Syndromes;Guillain-Barre Syndrome;Mucocutaneous Lymph Node Syndrome,,,22/08/2024,22/08/2024,,https://www.ema.europa.eu/en/medicines/dhpc/privigen
Human,NovoSeven,EMEA/H/C/000074,eptacog alfa (activated),Medicine shortage;Quality defect,,,B02BD08,,Hemophilia B;Thrombasthenia;Factor VII Deficiency;Hemophilia A,,,19/08/2024,19/08/2024,,https://www.ema.europa.eu/en/medicines/dhpc/novoseven
Human,Glatiramer acetate,PSUSA/00001529/202311,Glatiramer acetate,Adverse event,Variation,,L03AX13,,Multiple Sclerosis,,Glatiramer acetate,14/08/2024,14/08/2024,,https://www.ema.europa.eu/en/medicines/dhpc/glatiramer-acetate
Human,Ocaliva,,Obeticholic acid,Post-authorisation measure,Revocation,Ocaliva,A05AA04,,"Liver Cirrhosis, Biliary",,,31/07/2024,31/07/2024,,https://www.ema.europa.eu/en/medicines/dhpc/ocaliva-0
Human,Vabysmo,,Faricimab,Quality defect,,,S01L,,Wet Macular Degeneration;Macular Edema;Diabetes Complications,,,25/07/2024,25/07/2024,,https://www.ema.europa.eu/en/medicines/dhpc/vabysmo
Veterinary,Senvelgo,EMEA/V/C/005972,Velagliflozin L-proline monohydrate,Adverse event,,,,QA10BK90,,Cats,,19/07/2024,19/07/2024,,https://www.ema.europa.eu/en/medicines/dhpc/senvelgo
Human,Abecma / Breyanzi / Carvykti / Kymriah / Tecartus / Yescarta,,idecabtagene vicleucel;Lisocabtagene maraleucel;ciltacabtagene autoleucel;tisagenlecleucel;brexucabtagene autoleucel;Axicabtagene ciloleucel,Adverse event,Variation,,L01;L01XL05;L01XL04;L01X;L01XX70,,"Multiple Myeloma;Lymphoma, Large B-Cell, Diffuse;Lymphoma, Follicular;Mediastinal Neoplasms;Precursor B-Cell Lymphoblastic Leukemia-Lymphoma;Lymphoma, Mantle-Cell",,,18/07/2024,18/07/2024,,https://www.ema.europa.eu/en/medicines/dhpc/abecma-breyanzi-carvykti-kymriah-tecartus-yescarta
Human,Hydroxyprogesterone caproate,EMEA-H-A-31-1528,hydroxyprogesterone caproate,Post-authorisation measure,Suspension,Hydroxyprogesterone caproate-containing medicinal products,,,,,Lentogest; Progesterone Retard Pharlon; Proluton Depot,17/07/2024,17/07/2024,,https://www.ema.europa.eu/en/medicines/dhpc/hydroxyprogesterone-caproate
Human,Zypadhera,,olanzapine pamoate monohydrate,Quality defect,,,N05AH03,,Schizophrenia,,,19/06/2024,19/06/2024,,https://www.ema.europa.eu/en/medicines/dhpc/zypadhera
Human,Giapreza,,Angiotensin II acetate,Quality defect,,,C09,,Hypotension;Shock,,,23/05/2024,23/05/2024,,https://www.ema.europa.eu/en/medicines/dhpc/giapreza
Human,Paxlovid,,nirmatrelvir;ritonavir,Adverse event,Maintenance,,J05AE30,,COVID-19 virus infection,,,21/03/2024,21/03/2024,,https://www.ema.europa.eu/en/medicines/dhpc/paxlovid
Human,Valproate,EMEA/H/N/PSR/J/0043,valproate,Post-authorisation measure,Variation,,N03AG01,,Epilepsy;Bipolar Disorder;Migraine Disorders,,,19/02/2024,19/02/2024,,https://www.ema.europa.eu/en/medicines/dhpc/valproate
Human,Pseudoephedrine,EMEA/H/A-31/1526,Pseudoephedrine,Referral - Article 31,Variation,Pseudoephedrine-containing medicinal products,R01BA02,,Nasal Decongestants,,,09/02/2024,08/02/2024,,https://www.ema.europa.eu/en/medicines/dhpc/pseudoephedrine
Human,Voxzogo,EMEA/H/C/005475/II/0007,Vosoritide,Change in dosing recommendation,Variation,,M05BX,,Achondroplasia,,,,23/01/2024,,https://www.ema.europa.eu/en/medicines/dhpc/voxzogo
Human,Leqvio,,inclisiran,Quality defect,Maintenance,,C10AX,,Hypercholesterolemia;Dyslipidemias,,,21/12/2023,23/01/2024,,https://www.ema.europa.eu/en/medicines/dhpc/leqvio
Human,Integrilin,,eptifibatide,Medicine shortage,Withdrawal,,B01AC16,,"Angina, Unstable;Myocardial Infarction",,,02/11/2023,04/12/2023,,https://www.ema.europa.eu/en/medicines/dhpc/integrilin
Human,Ozempic / Victoza,,semaglutide;liraglutide,Medicine shortage,,,A10BJ06;A10BJ02,,"Diabetes Mellitus, Type 2",,,,21/11/2023,01/12/2023,https://www.ema.europa.eu/en/medicines/dhpc/ozempic-victoza
Human,Omega-3 fatty acid ethyl esters,,Omega-3 fatty acid ethyl esters,Adverse event,Variation,,,,Cardiovascular Diseases,,,08/11/2023,01/12/2023,,https://www.ema.europa.eu/en/medicines/dhpc/omega-3-fatty-acid-ethyl-esters
Human,Topiramate / phentermine,EMEA/H/A-31/1520,Topiramate;phentermine,Restriction of indication,Variation,Topiramate,N03AX11,,Epilepsy;Migraine Disorders,,,01/11/2023,21/11/2023,,https://www.ema.europa.eu/en/medicines/dhpc/topiramate-phentermine
Human,Vaxneuvance,,"Pneumococcal polysaccharide conjugate vaccine (15-valent, adsorbed)",Quality defect,Maintenance,,J07AL02,,Pneumococcal Infections,,,20/09/2023,20/09/2023,20/09/2023,https://www.ema.europa.eu/en/medicines/dhpc/vaxneuvance
Human,RoActemra / Hemlibra / Herceptin / Kadcyla / MabThera / Phesgo / Tecentriq,,tocilizumab;Emicizumab;trastuzumab;trastuzumab emtansine;rituximab;pertuzumab;trastuzumab;atezolizumab,Quality defect,,,L04AC07;B02BX06;L01XC03;L01XC14;L01XC02;L01XY,,"Arthritis, Rheumatoid;Arthritis, Juvenile Rheumatoid;Cytokine Release Syndrome;Giant Cell Arteritis;COVID-19 virus infection;Hemophilia A;Stomach Neoplasms;Breast Neoplasms;Lymphoma, Non-Hodgkin;Leukemia, Lymphocytic, Chronic, B-Cell;Carcinoma, Transitional Cell;Carcinoma, Non-Small-Cell Lung;Urologic Neoplasms;Small Cell Lung Carcinoma",,,17/08/2023,17/08/2023,17/08/2023,https://www.ema.europa.eu/en/medicines/dhpc/roactemra-hemlibra-herceptin-kadcyla-mabthera-phesgo-tecentriq
Human,Advate / Rixubis,,Octocog alfa;Factor VIII Inhibitor Bypassing Activity;Nonacog gamma,Quality defect,Variation,,,,,,,14/08/2023,14/08/2023,14/08/2023,https://www.ema.europa.eu/en/medicines/dhpc/advate-rixubis
Human,Simponi,,Golimumab,Quality defect,Variation,,L04AB06,,"Arthritis, Psoriatic;Spondylitis, Ankylosing;Colitis, Ulcerative;Arthritis, Rheumatoid",,,09/08/2023,10/08/2023,10/08/2023,https://www.ema.europa.eu/en/medicines/dhpc/simponi
Human,Gavreto,EMEA/H/C/005413,pralsetinib,Adverse event;Post-authorisation measure,Variation,,L01XE,,"Carcinoma, Non-Small-Cell Lung",,,16/06/2023,16/06/2023,,https://www.ema.europa.eu/en/medicines/dhpc/gavreto
Human,Adakveo,EMEA/H/A-20/1525/C/4874/0013,Crizanlizumab,Lack of effect;Referral - Article 20 procedure,Revocation,,B06AX01,,"Anemia, Sickle Cell",,,15/06/2023,15/06/2023,,https://www.ema.europa.eu/en/medicines/dhpc/adakveo-0
Human,Fluoroquinolones,SC01/EMA/2018/29/PE,Fluoroquinolones,Post-authorisation measure,Variation,Quinolone- and fluoroquinolone-containing medicinal products,,,Anti-Bacterial Agents,,,08/06/2023,08/06/2023,,https://www.ema.europa.eu/en/medicines/dhpc/fluoroquinolones
Veterinary,Arti-Cell Forte / RenuTend,,Equine allogeneic mesenchymal stem cells,Quality defect,,,,QM09AX90,,Horses,,,04/05/2023,,https://www.ema.europa.eu/en/medicines/dhpc/arti-cell-forte-renutend
Human,Simulect,EMEA/H/C/000207,basiliximab,Quality defect,,,L04AC02,,Graft Rejection;Kidney Transplantation,,,21/04/2023,20/04/2023,21/04/2023,https://www.ema.europa.eu/en/medicines/dhpc/simulect
Human,Menotropin,DK/H/0606/01-06/DC,Menotropin,Medicine shortage,,,G03GA02,,,,Menopur,12/04/2023,17/04/2023,,https://www.ema.europa.eu/en/medicines/dhpc/menotropin
Human,Cibinqo / Jyseleca / Olumiant / Rinvoq / Xeljanz,EMEA/H-A20/1517/C/004214/0048; EMEA/H-A20/1517/C/005452/0003; EMEA/H-A20/1517/C/004085/0032; EMEA/H-A20/1517/C/004760/0017; EMEA/H-A20/1517/C/005113/0014,abrocitinib;filgotinib;Baricitinib;upadacitinib;Tofacitinib,Referral - Article 20 procedure,Variation,Janus kinase inhibitors (JAKi),D11AH08;L04AA45;L04AA37;L04AA44;L04AA29,,"Arthritis, Rheumatoid;Dermatitis, Atopic",,,21/02/2023,30/03/2023,,https://www.ema.europa.eu/en/medicines/dhpc/cibinqo-jyseleca-olumiant-rinvoq-xeljanz
Human,Pholcodine,EMEA/H/A-107i/1521,Pholcodine,Referral - Article 107i procedure,Revocation,Pholcodine-containing medicinal products,,,Cough,,,,27/03/2023,,https://www.ema.europa.eu/en/medicines/dhpc/pholcodine
Human,Myalepta,EMEA/H/C/004218,Metreleptin,Medicine shortage,,,A16AA,,"Lipodystrophy, Familial Partial",,,03/03/2023,14/03/2023,,https://www.ema.europa.eu/en/medicines/dhpc/myalepta-0
Human,Ozempic,EMEA/H/C/004174,semaglutide,Medicine shortage,,,A10BJ06,,Diabetes Mellitus,,,13/03/2023,13/03/2023,13/03/2023,https://www.ema.europa.eu/en/medicines/dhpc/ozempic-0
Human,Caprelsa,EMEA/H/C/002315/II/0043,Vandetanib,Restriction of indication,Variation,,L01XE,,Thyroid Neoplasms,,,,28/02/2023,,https://www.ema.europa.eu/en/medicines/dhpc/caprelsa
Human,Xalkori,EMEA/H/C/002489/II/0072,crizotinib,Adverse event,Variation,,L01ED01,,"Carcinoma, Non-Small-Cell Lung",,,,21/02/2023,,https://www.ema.europa.eu/en/medicines/dhpc/xalkori
Human,Spikevax (previously COVID-19 Vaccine Moderna),,"CX-024414 (single-stranded, 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2)",Adverse event,Variation,,J07BX03,,COVID-19 virus infection,,,,21/02/2023,,https://www.ema.europa.eu/en/medicines/dhpc/spikevax-previously-covid-19-vaccine-moderna
Human,Terlipressin,EMEA/H/A-31/1514,Terlipressin,Referral - Article 31,Variation,Terlipressin-containing medicinal products indicated in the treatment of hepatorenal syndrome,H01BA04,,Vasopressins,,"Glypressin, Terlipressin Acetate and Variquel",01/12/2022,17/02/2023,,https://www.ema.europa.eu/en/medicines/dhpc/terlipressin
Human,Zolgensma,EMEA/H/C/004750/II/0033/G,Onasemnogene abeparvovec,Adverse event,Variation,,M09AX09,,"Muscular Atrophy, Spinal",,,16/02/2023,17/02/2023,,https://www.ema.europa.eu/en/medicines/dhpc/zolgensma-0
Human,Neofordex,EMEA/H/C/004071/II/0017-G,dexamethasone,Change in dosing recommendation,Variation,,H02AB02,,Multiple Myeloma,,,17/02/2023,17/02/2023,,https://www.ema.europa.eu/en/medicines/dhpc/neofordex
Human,Fasturtec,EMEA/H/C/000331,rasburicase,Medicine shortage,,,V03AF07,,Hyperuricemia,,,17/02/2023,17/02/2023,,https://www.ema.europa.eu/en/medicines/dhpc/fasturtec
Human,Cystagon,EMEA/H/C/000125,mercaptamine bitartrate,Quality defect,,,A16AA04,,Cystinosis,,,15/02/2023,15/02/2023,15/02/2023,https://www.ema.europa.eu/en/medicines/dhpc/cystagon
Human,Adakveo,EMEA/H/C/004874,Crizanlizumab,Referral - Article 20 procedure,,Adakveo,B06AX01,,"Anemia, Sickle Cell",,,14/02/2023,14/02/2023,,https://www.ema.europa.eu/en/medicines/dhpc/adakveo
Human,Amfepramone,EMEA/H/A-31/1501,amfepramone,Referral - Article 31,Revocation,Amfepramone-containing medicinal products,A08AA03,,Obesity,,Regenon; Tenuate Retard; Amfepramon-Hormosan; Regenon Retard,08/02/2023,08/02/2023,,https://www.ema.europa.eu/en/medicines/dhpc/amfepramone
Human,Lymphoseek,EMEA/H/C/002085,tilmanocept,Medicine shortage,,,V09IA09,,Radionuclide Imaging,,,31/01/2023,31/01/2023,,https://www.ema.europa.eu/en/medicines/dhpc/lymphoseek-1
Human,Pazenir,EMEA/H/C/004441,paclitaxel,Medicine shortage,,,L01CD01,,Breast Neoplasms,,,24/01/2023,25/01/2023,,https://www.ema.europa.eu/en/medicines/dhpc/pazenir
Human,Insuman,EMEA/H/C/000201,Insulin human,Medicine shortage,Maintenance,,A10AB01;A10AC01,,Diabetes Mellitus,,,14/01/2023,16/01/2023,16/01/2023,https://www.ema.europa.eu/en/medicines/dhpc/insuman-0
Human,Zoely,EMEA/H/A-31/1510,Nomegestrol;chlormadinone,Adverse event;Referral - Article 31,Variation,Nomegestrol and chlormadinone,G03,,,,,08/11/2022,08/11/2022,,https://www.ema.europa.eu/en/medicines/dhpc/zoely
Human,Imbruvica,EMEA/H/C/003791/II/0075,Ibrutinib,Post-authorisation measure,Variation,,L01EL01,,"Lymphoma, Mantle-Cell;Leukemia, Lymphocytic, Chronic, B-Cell",,,03/11/2022,03/11/2022,,https://www.ema.europa.eu/en/medicines/dhpc/imbruvica
Human,Ozempic,,semaglutide,Medicine shortage,Maintenance,,A10BJ06,,Diabetes Mellitus,,,19/10/2022,19/10/2022,,https://www.ema.europa.eu/en/medicines/dhpc/ozempic
Human,Natpar,EMEA/H/C/003861,parathyroid hormone,Medicine shortage,Maintenance,,H05AA03,,Hypoparathyroidism,,,04/10/2022,04/10/2022,04/10/2022,https://www.ema.europa.eu/en/medicines/dhpc/natpar-0
Human,Nulojix,EMEA/H/C/002098,belatacept,Medicine shortage,Maintenance,,L04AA28,,Graft Rejection;Kidney Transplantation,,,28/09/2022,27/09/2022,28/09/2022,https://www.ema.europa.eu/en/medicines/dhpc/nulojix-2
Human,Metalyse,EMEA/H/C/000306,tenecteplase,Medicine shortage,Maintenance,,B01AD11,,Myocardial Infarction,,,23/09/2022,23/09/2022,,https://www.ema.europa.eu/en/medicines/dhpc/metalyse
Human,Nulojix,EMEA/H/C/002098/II/0079/G,belatacept,Medication error,Maintenance,,L04AA28,,Graft Rejection;Kidney Transplantation,,,12/09/2022,12/09/2022,,https://www.ema.europa.eu/en/medicines/dhpc/nulojix-1
Human,Visudyne,EMEA/H/C/000305,verteporfin,Medicine shortage,Maintenance,,S01LA01,,"Myopia, Degenerative;Macular Degeneration",,,12/08/2022,12/08/2022,,https://www.ema.europa.eu/en/medicines/dhpc/visudyne-0
Veterinary,Hiprabovis IBR Marker Live,EMEA/V/C/000158,"live gE- tk- double-gene-deleted bovine herpes virus type 1, strain CEDDEL: 106.3–107.3 CCID50",Adverse event,Variation,,,QI02AD01,,Cattle,,11/08/2022,11/08/2022,,https://www.ema.europa.eu/en/medicines/dhpc/hiprabovis-ibr-marker-live
Human,Cetrotide,EMEA/H/C/000233,cetrorelix (as acetate),Medicine shortage,Maintenance,,H01CC02,,Ovulation;Ovulation Induction,,,09/08/2022,09/08/2022,09/08/2022,https://www.ema.europa.eu/en/medicines/dhpc/cetrotide
Human,Rubraca,EMEA/H/A-20/1518/C/4272/0033,Rucaparib camsylate,Referral - Article 20 procedure;Restriction of indication,Variation,Rubraca,L01XX,,Ovarian Neoplasms,,,12/08/2022,08/08/2022,,https://www.ema.europa.eu/en/medicines/dhpc/rubraca
Human,Hydroxyethyl starch,,hydroxyethyl starch,Post-authorisation measure,Suspension,Hydroxyethyl starch (HES) containing medicinal products,,,,,,30/06/2022,30/06/2022,26/07/2022,https://www.ema.europa.eu/en/medicines/dhpc/hydroxyethyl-starch
Human,Imlygic,EMEA/H/C/002771,talimogene laherparepvec,Adverse event;Quality defect,Variation,,L01XX51,,Melanoma,,,16/06/2022,16/06/2022,,https://www.ema.europa.eu/en/medicines/dhpc/imlygic
Human,Dexdor,EMEA/H/C/002268/II/0035,Dexmedetomidine hydrochloride,Safety signal,Maintenance,,N05CM18,,Conscious Sedation,,,16/06/2022,16/06/2022,,https://www.ema.europa.eu/en/medicines/dhpc/dexdor
Human,Defitelio,EMEA/H/C/004093/II/0030,defibrotide,Lack of effect;Safety signal,Maintenance,,B01AX01,,Hepatic Veno-Occlusive Disease,,,13/06/2022,13/06/2022,,https://www.ema.europa.eu/en/medicines/dhpc/defitelio
Human,Ocaliva,EMEA/H/C/004093/II/0030,Obeticholic acid,New contraindication,Variation,,A05AA04,,"Liver Cirrhosis, Biliary",,,09/06/2022,09/06/2022,,https://www.ema.europa.eu/en/medicines/dhpc/ocaliva
Human,Lymphoseek,EMEA/H/C/002085,tilmanocept,Medicine shortage,Maintenance,,V09IA09,,Radionuclide Imaging,,,30/05/2022,30/05/2022,,https://www.ema.europa.eu/en/medicines/dhpc/lymphoseek-0
Human,Rubraca,EMEA/H/A-20/1518/C/4272/0033,Rucaparib camsylate,Referral - Article 20 procedure,Variation,Rubraca,L01XX,,Ovarian Neoplasms,,,05/05/2022,06/05/2022,,https://www.ema.europa.eu/en/medicines/dhpc/rubraca-0
Human,Natpar,EMEA/H/C/003861,parathyroid hormone,Medicine shortage,Maintenance,,H05AA03,,Hypoparathyroidism,,,29/04/2022,29/04/2022,,https://www.ema.europa.eu/en/medicines/dhpc/natpar
Human,Remicade / Flixabi / Inflectra / Remsima / Zessly,EMEA/H/C/000240/IB/233,infliximab,New contraindication,Variation,,L04AB02,,"Spondylitis, Ankylosing;Arthritis, Rheumatoid;Psoriasis;Crohn Disease;Arthritis, Psoriatic;Colitis, Ulcerative",,,07/03/2022,07/03/2022,,https://www.ema.europa.eu/en/medicines/dhpc/remicade-flixabi-inflectra-remsima-zessly
Human,Xagrid,EMEA/H/C/000480/II/091,Anagrelide,Safety signal,Variation,,L01XX35,,"Thrombocythemia, Essential",,,22/02/2022,22/02/2022,,https://www.ema.europa.eu/en/medicines/dhpc/xagrid
Human,Mavenclad,,Cladribine,Adverse event,Variation,,L04AA40,,Multiple Sclerosis,,,14/02/2022,14/02/2022,,https://www.ema.europa.eu/en/medicines/dhpc/mavenclad
Human,Nulojix,,belatacept,Medicine shortage,Maintenance,,L04AA28,,Graft Rejection;Kidney Transplantation,,,17/01/2022,17/01/2022,,https://www.ema.europa.eu/en/medicines/dhpc/nulojix-0
Human,Briviact (in Italy: Nubriveo),,Brivaracetam,Quality defect,Maintenance,,N03AX23,,Epilepsy,,,18/12/2021,20/12/2021,,https://www.ema.europa.eu/en/medicines/dhpc/briviact-italy-nubriveo
Human,Lymphoseek,,tilmanocept,Medicine shortage,Maintenance,,V09IA09,,Radionuclide Imaging,,,07/12/2021,07/12/2021,,https://www.ema.europa.eu/en/medicines/dhpc/lymphoseek
Human,Forxiga,EMEA/H/C/002322/II/0071,dapagliflozin propanediol monohydrate,Type II variation,Variation,,A10BK01,,"Diabetes Mellitus, Type 2",,,11/11/2021,11/11/2021,,https://www.ema.europa.eu/en/medicines/dhpc/forxiga
Human,Kevzara,,sarilumab,Medicine shortage,Variation,,L04AC14,,"Arthritis, Rheumatoid",,,09/11/2021,09/11/2021,,https://www.ema.europa.eu/en/medicines/dhpc/kevzara
Human,Beovu,EMEA/H/C/004913,Brolucizumab,Type II variation,Variation,,S01,,Wet Macular Degeneration,,,05/11/2021,05/11/2021,,https://www.ema.europa.eu/en/medicines/dhpc/beovu
Human,Visudyne,,verteporfin,Medicine shortage,,,S01LA01,,"Myopia, Degenerative;Macular Degeneration",,,05/11/2021,05/11/2021,,https://www.ema.europa.eu/en/medicines/dhpc/visudyne
Human,Vaxzevria (previously COVID-19 Vaccine AstraZeneca),,ChAdOx1-SARS-COV-2,Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,13/10/2021,13/10/2021,,https://www.ema.europa.eu/en/medicines/dhpc/vaxzevria-previously-covid-19-vaccine-astrazeneca-3
Human,Jcovden (previously COVID-19 Vaccine Janssen),EMEA/H/C/005737,adenovirus type 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S),Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,13/10/2021,13/10/2021,,https://www.ema.europa.eu/en/medicines/dhpc/jcovden-previously-covid-19-vaccine-janssen-1
Human,Champix,,varenicline,Medicine shortage,Variation,,N07BA03,,Tobacco Use Cessation,,,30/09/2021,30/09/2021,30/09/2021,https://www.ema.europa.eu/en/medicines/dhpc/champix-0
Human,RoActemra,,tocilizumab,Medicine shortage,,,L04AC07,,"Arthritis, Rheumatoid;Arthritis, Juvenile Rheumatoid;Cytokine Release Syndrome",,,03/09/2020,02/09/2021,,https://www.ema.europa.eu/en/medicines/dhpc/roactemra
Human,Jcovden (previously COVID-19 Vaccine Janssen),EMEA/H/C/005737,adenovirus type 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S),Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,19/07/2021,19/07/2021,,https://www.ema.europa.eu/en/medicines/dhpc/jcovden-previously-covid-19-vaccine-janssen-0
Human,Comirnaty / Spikevax (previously COVID-19 Vaccine Moderna),EMEA/H/C/005735; EMEA/H/C/005791,"Single-stranded, 5’-capped messenger RNA produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2;CX-024414 (single-stranded, 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2)",Safety signal,Variation,,J07BX;J07BX03,,COVID-19 virus infection,,,19/07/2021,19/07/2021,,https://www.ema.europa.eu/en/medicines/dhpc/comirnaty-spikevax-previously-covid-19-vaccine-moderna
Human,Champix,EMEA/H/C/000699,varenicline,Quality defect,,,N07BA03,,Tobacco Use Cessation,,,15/07/2021,15/07/2021,,https://www.ema.europa.eu/en/medicines/dhpc/champix
Human,Xeljanz,EMEA/H/C/004214,tofacitinib citrate,Safety signal,Variation,,L04AA29,,"Arthritis, Rheumatoid",,,06/07/2021,06/07/2021,,https://www.ema.europa.eu/en/medicines/dhpc/xeljanz-0
